Peace_Treaty_Accords,Technological_Advancements,Ammonia_Concentration,Precious_Metal_Trade_Tons,Food_Production_Tons,Trade_Agreements_Signed,Last_Contact_Days,Discovery_Date,Mineral_Extraction_Tons,Galactic_Visits,Sulfur_Concentration,Exploration_Missions,Biological_Research_Units,Offspring_Colonies,Cultural_Exchange_Programs,Military_Engagements,Inhabitants_Disputes,Resource_Mining_Operations,Resource_Allocation_Credits,Young_Colonies,HeavyMetals_Concentration,Terraforming_Initiatives,Liquid_Energy_Consumption_Terawatts,Alien_Population_Count,CO2_Concentration,Hydrogen_Concentration,Colonization_Year,Species_Expansion_Response,Alien_Civilization_Level,Interplanetary_Communications,Dominant_Species_Social_Structure_Absurd,Dominant_Species_Social_Structure_Alone,Dominant_Species_Social_Structure_Divorced,Dominant_Species_Social_Structure_Married,Dominant_Species_Social_Structure_Single,Dominant_Species_Social_Structure_Together,Dominant_Species_Social_Structure_Widow,Dominant_Species_Social_Structure_YOLO
0.0,0.0,0.0,5.0,7.0,2.0,7.0,-0.15113960483012634,11.0,7.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,14.0,24027.0,1.0,43.55,3106.0,0.39999999999999997,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,9.0,3.9999999999999964,2.0,30.0,0.5741346598174718,24.0,9.0,0.0,0.0,7.600000000000001,1.0,0.0,0.0,0.0,2.9999999999999996,9.0,0.0,4.0,0.0,37.0,29236.0,1.0,40.45,3117.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,54.0,72.0,4.0,48.0,-0.6237902492072126,270.0,5.0,0.0,2.0,36.0,0.2,0.0,0.0,0.0,12.0,27.0,1.0,1.0,0.0,505.0,74881.0,9.0,118.63,3091.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,8.0,3.0,3.0,60.0,0.7208193425551882,19.0,8.0,2.0,1.0,2.6000000000000014,0.4,0.0,0.0,0.0,3.0,5.0,1.0,2.0,0.0,26.0,33402.0,8.0,4.609999999999999,3082.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,28.0,3.0,4.0,47.0,0.9001006214568417,21.0,8.0,3.0,1.1999999999999997,2.0,1.0,0.0,0.0,0.0,2.0000000000000004,1.0,1.0,3.0,0.0,14.0,42205.0,5.0,17.6,3098.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,23.0,5.0,3.0,36.8,-0.6808342924941023,19.0,7.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,3.0,0.0,0.39999999999999997,2.0,0.0,25.0,23559.0,8.0,6.990000000000002,3103.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,83.80000000000001,17.0,6.0,78.0,-0.3956140760596537,118.0,8.0,3.0,2.8,7.0,0.0,0.0,0.0,0.0,8.0,23.0,1.0,3.0,0.0,424.0,40464.0,2.0,51.77,3083.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,151.0,53.0,1.0,87.0,0.6694797035969874,275.59999999999997,4.0,0.0,3.6,104.0,0.0,0.0,0.0,0.0,13.0,98.0,1.0,2.0,0.0,445.0,58330.0,10.0,57.62,3105.0,0.0,2.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,4.0,27.0,7.0,1.0,40.0,0.6637752992682985,11.0,6.6,2.0,0.0,16.0,1.2,0.0,0.0,0.0,2.9999999999999996,12.000000000000002,0.0,0.0,0.0,2.0,14188.0,3.0,49.738,3102.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,39.0,17.0,2.0,86.0,-1.2797967470064446,19.0,6.0,3.0,1.0,30.0,1.0,0.0,0.0,0.0,3.0,24.0,0.0,3.0,0.0,4.0,33812.0,2.0,118.94,3115.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,3.0,3.0,6.0,2.0,54.0,-1.7931931365884521,20.0,7.0,1.0,0.0,30.0,1.0,0.0,0.0,0.0,4.2,1.0,0.0,5.0,0.0,63.400000000000006,35790.0,4.0,37.94,3107.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,9.0,0.9999999999999964,2.0,74.0,-0.5504479078383544,12.0,5.8,5.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,46.0,59062.0,5.0,59.0,3091.6,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.2,0.0,2.0,42.0,0.0,3.0,69.0,1.6050020135019791,37.0,5.0,3.0,3.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,2.0,0.0,492.0,52597.0,1.0,49.834,3092.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,3.0,17.0,3.9999999999999964,2.0,27.0,-0.12669215770717351,13.0,5.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,3.0,0.0,7.0,15315.0,7.0,8.0,3100.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,2.0,40.0,32.0,5.0,28.0,0.2929890179035152,230.0,9.0,1.0,5.0,34.0,1.0,0.0,0.0,0.0,4.0,32.0,0.0,2.0,0.0,342.0,51250.0,4.0,13.16000000000001,3120.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.26446699626007036,4.0,5.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,32.60000000000002,48330.0,1.0,88.43,3091.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,15.0,33.0,5.0,8.0,-0.46080726838752767,60.0,8.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,3.0,0.0,199.0,34600.0,5.0,28.990000000000002,3101.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,1.0,6.0,13.0,4.0,51.0,1.6050020135019791,131.0,7.0,4.0,1.0,32.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,3.0,0.0,173.0,54984.0,9.0,43.5,3089.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,100.0,108.00000000000001,2.0,50.0,-0.7664003574244369,185.0,3.0,3.0,6.0,130.0,0.0,0.0,0.0,0.0,9.0,38.0,1.0,2.0,0.0,340.0,75903.0,10.0,4.140000000000001,3081.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,3.0,60.8,1.731313823637235,356.0,3.0,2.0,7.0,63.0,0.0,0.0,0.0,0.0,11.0,28.0,1.0,4.0,0.0,529.0,67911.0,9.0,68.51,3079.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,3.0,38.0,86.0,1.0,56.6,-0.8641901459162479,537.0,3.0,1.0,9.0,34.0,0.0,0.0,0.0,0.0,12.0,69.0,0.0,3.0,0.0,779.0,81843.0,1.0,54.1,3090.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.2,1.0,190.0,51.0,0.5999999999999999,55.0,-1.0923663190638069,432.0,1.0,2.0,10.0,180.0,0.0,0.0,0.39999999999999997,0.0,13.0,120.0,0.0,2.0,1.0,984.0,82384.0,4.0,114.47,3085.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,2.0,44.4,57.0,5.0,8.0,-0.31819716017030336,100.0,9.0,2.0,1.0,71.0,1.0,0.0,0.0,0.0,5.0,15.0,1.0,3.0,0.0,73.0,48752.0,8.0,77.68,3099.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.8,2.0,3.9999999999999964,5.0,84.0,0.8430565781699519,46.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,1.0,4.0,0.0,117.99999999999994,40233.0,7.0,61.81,3105.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,12.0,63.0,4.0,93.0,0.0485145466739878,185.4,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,10.0,12.000000000000002,1.0,3.0,0.0,414.2,63972.0,7.0,21.64,3094.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,2.0,3.0,0.9999999999999964,1.0,65.2,0.4641211477641844,23.400000000000006,7.0,3.0,0.0,0.0,0.8,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,26.80000000000001,38887.0,10.0,22.809999999999995,3102.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,52.0,0.0,1.0,81.0,-0.6604614198916418,124.0,5.0,2.0,2.0,179.0,1.0,0.0,0.0,0.0,5.8,97.0,0.0,3.0,0.0,293.0,64813.0,3.0,31.71,3108.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,18.0,0.9999999999999964,3.0,35.6,0.6922973209117433,11.0,3.0,1.0,1.0,6.599999999999998,1.0,0.0,0.0,0.0,3.0,1.9999999999999964,0.2,2.6,0.0,3.0,22448.0,6.0,37.83,3112.0,0.0,3.0,1.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,23.0,3.0,3.0,82.0,0.6637752992682985,26.0,9.0,1.0,1.0,1.3999999999999986,1.0,0.0,0.0,0.0,2.0000000000000004,1.0,0.0,3.0,0.0,24.0,11012.0,2.0,21.57,3114.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,2.0,11.0,0.9999999999999964,2.0,81.0,-0.06557353989979167,7.0,6.0,2.0,1.0,17.0,1.0,0.0,0.0,0.0,3.0,14.0,0.0,2.0,0.0,5.0,21955.000000000004,5.0,93.7,3116.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.6,28.0,28.0,1.0,75.0,-0.037051518256346797,674.0,1.0,1.0,10.0,91.0,0.0,0.0,0.0,0.0,8.0,63.199999999999996,0.0,4.0,0.0,604.0,78420.0,1.0,16.020000000000003,3096.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,4.0,95.0,25.0,1.0,10.0,-1.3409153648138263,459.0,4.0,0.0,6.0,124.0,0.0,0.0,0.6000000000000001,0.0,7.0,29.0,0.0,4.0,1.0,823.0,83617.2,8.0,77.3,3112.0,1.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.6,6.0,0.0,1.0,33.0,0.64747700118633,1.0,3.0,2.0,0.19999999999999973,0.0,1.0,0.0,0.0,0.0,2.9999999999999996,0.0,0.0,4.0,0.0,6.0,36143.0,7.0,91.28,3111.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.19999999999999998,0.0,0.0,84.0,0.0,2.8,49.0,-0.15358434954242148,275.0,3.0,3.0,8.0,45.0,0.0,0.0,0.0,0.0,5.0,45.0,0.0,3.0,0.0,792.0,62187.0,10.0,68.756,3088.6,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.4000000000000001,49.0,115.00000000000001,1.0,46.0,0.37040593379286557,292.0,3.0,2.4,6.0,23.0,0.0,0.0,0.0,0.0,11.0,35.0,1.0,3.0,0.0,425.0,64867.2,10.0,99.82,3109.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,3.0,133.0,88.0,3.0,10.0,-0.5300750352358937,168.0,5.0,0.0,3.0,69.0,0.0,0.0,0.0,0.0,13.0,44.0,1.0,3.2,0.0,532.0,70179.0,9.0,114.52,3106.0,0.0,4.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.6,2.0,185.0,55.0,2.0,22.0,-1.8461626053548497,278.0,6.0,2.0,4.0,94.4,1.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,1.0,1486.0,81929.0,7.0,57.23,3106.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.4,0.0,1.0,9.0,3.0,1.0,39.0,0.5904329578994403,6.0,7.0,1.0,0.39999999999999947,4.0,1.0,0.0,0.0,0.0,2.0000000000000004,1.4000000000000021,0.0,3.0,0.0,2.0,20587.0,2.0,44.9,3100.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,1.0,26.0,93.0,1.0,25.0,1.0223378570716053,520.0,1.0,3.0,10.0,112.6,0.0,0.0,0.0,0.0,5.0,40.0,0.0,4.0,0.0,507.0,83786.0,3.0,29.89,3074.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,12.0,18.0,3.0,23.0,-0.32797613901948447,26.0,7.0,5.0,0.0,11.0,1.0,0.0,0.0,0.0,4.0,8.0,0.0,1.0,0.0,3.0,32708.600000000002,5.0,109.52,3100.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,100.0,22.0,1.0,89.0,-0.03134711392765789,350.0,1.0,2.0,9.0,151.0,0.0,0.0,0.0,0.0,13.0,25.0,0.0,2.0,1.0,810.0,82122.0,2.0,118.03,3092.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,3.0,6.0,27.0,1.0,57.2,0.5293143400920584,102.0,1.0,3.0,2.0,28.0,0.0,0.0,0.0,0.0,5.0,48.0,0.0,1.0,0.0,99.0,51876.0,2.0,39.91,3088.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.303483498985562,1.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0000000000000004,0.0,1.0,3.0,0.0,10.0,32474.0,4.0,11.96,3097.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,27.0,3.9999999999999964,5.0,72.0,-0.7908478045473897,12.0,5.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,4.0,0.0,0.8,3.0,0.0,43.0,36997.0,9.0,100.45,3098.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,1.0,0.0,1.0,38.0,-1.0108748286539644,5.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0000000000000004,0.0,0.0,4.0,0.0,6.0,27590.0,8.0,69.46,3112.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,2.0,19.0,5.0,5.0,83.0,-0.2358907548563624,61.0,5.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,5.0,1.1999999999999957,1.0,2.0,0.0,67.0,42373.0,7.0,5.890000000000001,3102.6,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.4,38.0,30.0,1.0,57.0,1.0019649844691447,437.20000000000005,3.0,0.0,3.0,80.0,0.0,0.0,0.0,0.0,13.0,46.0,1.0,2.0,0.0,539.0,62670.0,7.0,104.3,3084.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,6.0,3.0,3.0,53.0,1.6783443548708372,10.0,4.0,3.0,1.0,5.9999999999999964,2.0,0.0,0.0,0.0,4.0,8.0,0.2,1.0,0.0,29.399999999999977,28442.0,6.0,78.54,3108.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,153.0,10.600000000000001,1.0,24.0,1.006039558989637,54.0,6.0,1.0,5.0,17.4,0.0,0.0,0.0,0.0,3.0,28.0,0.0,3.0,0.0,88.0,34875.0,7.0,5.420000000000002,3113.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.8,48.0,15.0,2.0,14.0,0.879727748854381,171.0,2.0,4.0,4.0,142.0,0.0,0.0,0.0,0.0,12.0,23.0,1.0,2.0,0.0,255.4,75315.0,3.0,108.19,3084.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,34.0,0.0,3.4000000000000004,3.0,-1.8624609034368182,45.0,8.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,1.0,3.0,0.0,1099.0,62845.0,1.0,91.87,3079.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,38.0,7.0,3.0,12.0,0.4739001266133655,84.0,5.4,2.0,4.0,0.0,0.0,0.0,1.0,0.0,7.0,30.0,1.0,3.0,0.0,413.6,62061.0,4.0,43.202,3106.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,6.0,0.0,1.0,8.0,-0.5993428020842598,30.200000000000017,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0000000000000036,1.0,2.0,0.0,546.0,53688.4,10.0,78.43,3081.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,50.0,6.0,2.0,97.0,-0.5056275881129411,54.0,5.0,0.0,2.0,8.0,0.2,0.0,0.0,0.0,6.0,3.0,1.0,5.0,0.0,267.0,54111.0,1.0,1.9600000000000009,3095.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,2.0,13.999999999999996,0.0,3.0,74.0,0.007768801469066561,56.0,7.0,3.0,1.0,20.0,0.6,0.0,0.0,0.0,3.0,8.0,0.0,4.0,0.0,39.0,38361.0,8.0,8.699999999999996,3099.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,29.0,26.000000000000004,1.0,68.0,1.503137650489676,259.0,4.0,0.0,2.0,77.0,0.0,0.0,0.0,0.0,5.0,70.0,0.0,2.0,0.0,182.0,62159.0,4.0,78.968,3076.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,2.0,76.0,63.8,2.0,12.0,-0.6686105689326259,242.0,4.0,0.0,11.0,50.0,0.0,0.0,0.0,0.0,11.0,34.0,1.0,3.2,0.0,625.0,77044.0,9.0,44.65,3093.8,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,2.0,34.0,0.0,1.0,60.0,0.64747700118633,264.0,4.0,3.0,8.0,120.0,0.0,0.0,0.4,0.0,12.0,80.0,0.0,5.0,1.0,670.6000000000001,65308.0,7.0,88.71,3103.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,97.0,32.6,1.0,3.0,0.7045210444732197,528.0,4.0,2.0,3.0,98.0,0.0,0.0,0.0,0.0,5.0,75.0,0.0,4.0,0.0,345.0,68958.2,7.0,106.4,3096.6,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,2.0,24.0,12.0,3.0,43.4,-0.16743790291209476,48.999999999999986,8.0,1.0,1.0,17.0,1.0,0.0,0.0,0.0,3.0,24.0,0.0,4.0,0.0,51.0,38593.0,4.0,116.42,3107.4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,3.0,21.0,0.0,6.0,66.0,-0.6604614198916418,26.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,4.0,0.0,411.0,49681.0,3.5999999999999996,9.280000000000001,3106.0,0.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,42.0,35.0,2.0,15.0,0.31336189050597585,106.0,5.0,4.0,2.0,92.4,0.0,0.0,1.0,0.0,7.4,77.0,1.0,4.0,0.0,402.0,58582.0,5.0,65.58,3112.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,3.0,2.0,1.0,9.0,1.3360800951494989,5.0,7.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0000000000000004,7.600000000000001,1.0,2.0,0.0,8.0,45160.0,4.0,38.52,3096.6,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,64.0,10.0,6.0,48.0,-0.4485835448260513,253.0,7.0,2.0,2.0,56.0,1.0,0.0,0.0,0.0,7.0,20.799999999999997,1.0,4.0,0.0,189.0,58275.0,1.0,32.83,3090.2,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
